"name","pt1","pt2","pt3","pt4","pt5","x","y"
"point_0001","20190212T142031_20190212T143214_T19FDF","20190304T142031_20190304T142654_T19FDF","20190316T141049_20190316T142437_T19FDF","20190525T141059_20190525T142053_T19FDF","20200308T141731_20200308T143551_T19FDF",-69.785156,-49.007879
"point_0002","20190116T142751_20190116T143701_T19GDN","20190602T142041_20190602T142839_T19GDN","20200217T141651_20200217T142551_T19GDN","20200410T142731_20200410T143742_T19GDN","20200422T141729_20200422T142243_T19GDN",-69.960938,-42.910548
"point_0004","20190208T143751_20190208T144455_T19KDR","20190218T143751_20190218T144454_T19KDR","20190414T143759_20190414T144503_T19KER","20190906T143751_20190906T144705_T19KER","20200717T143729_20200717T144647_T19KDR",-68.9543624693475,-22.0211418338096
"point_0005","20190122T153619_20190122T153619_T17MNP","20190502T153629_20190502T153626_T17MNP","20191213T153611_20191213T153748_T17MNP","20200610T153631_20200610T154258_T17MNP","20200625T153619_20200625T153621_T17MNP",-80.463867,-5.986063
"point_0006","20190103T150719_20190103T151036_T18LVJ","20190103T150719_20190103T151036_T18LWJ","20190806T150721_20190806T150843_T18LWJ","20190831T150729_20190831T151107_T18LWJ","20191030T150719_20191030T150721_T18LWJ",-74.970703,-15.111385
"point_0007","20190202T181559_20190202T182031_T11SQR","20190831T180919_20190831T181408_T11SQR","20190905T180921_20190905T182114_T11SQR","20200227T181309_20200227T182313_T11SQR","20200318T180949_20200318T181654_T11SQR",-114.23584,31.900007
"point_0009","20190513T180929_20190513T181344_T12SWH","20190528T180921_20190528T182048_T12SWH","20191027T180439_20191027T180526_T12SWH","20200212T181451_20200212T181553_T12SWH","20200603T175909_20200603T181313_T12SWH",-110.412598,38.446823
"point_0010","20190125T112341_20190125T112624_T28QFG","20190724T112121_20190724T113118_T28QFG","20190813T112121_20190813T113228_T28QFG","20190907T112119_20190907T112853_T28QFG","20190922T112111_20190922T113547_T28QFG",-13.5612131059072,19.3543340295453
"point_0011","20190130T103251_20190130T104108_T31REP","20190306T103019_20190306T103540_T31REP","20190318T102021_20190318T102646_T31REP","20190517T102031_20190517T102508_T31REP","20190830T102029_20190830T102552_T31REP",3.339844,30.471647
"point_0012","20180116T091319_20180116T091445_T34RFV","20180302T090901_20180302T092002_T34RFV","20180829T090551_20180829T091949_T34RFV","20181112T091219_20181112T092057_T34RFV","20191217T091309_20191217T092124_T34RFV",22.5,31.075418
"point_0013","20190504T101031_20190504T101433_T32SLC","20190509T101039_20190509T102007_T32SLC","20190514T101031_20190514T101441_T32SLC","20191110T101241_20191110T101945_T32SLC","20191230T101421_20191230T101423_T32SLC",7.866211,34.166057
"point_0014","20190601T074611_20190601T075707_T37PCT","20190731T074621_20190731T080415_T37QCU","20190815T074619_20190815T075858_T37QCU","20191213T075229_20191213T075529_T37QCU","20200725T074621_20200725T075714_T37PCT",37.529297,16.231008
"point_0016","20180218T083011_20180218T083855_T36RUT","20181115T083211_20181115T083248_T36RUT","20181125T083251_20181125T083250_T36RUT","20191120T083241_20191120T083254_T36RUT","20200309T082751_20200309T084046_T36RUT",31.750488,29.40332
"point_0017","20190408T071619_20190408T072924_T38PQB","20190818T070621_20190818T071945_T38PQB","20190831T071621_20190831T073224_T38PQB","20190927T070641_20190927T072119_T38PQB","20200325T070621_20200325T071543_T38PQB",47.285156,15.141158
"point_0018","20181215T065251_20181215T065254_T40QCG","20190119T065209_20190119T070240_T40QCG","20190908T063631_20190908T064747_T40QCG","20190916T064629_20190916T065901_T40QCG","20191222T064259_20191222T064945_T40QCG",55.722656,19.33477
"point_0019","20190220T072939_20190220T074111_T38RPR","20191018T072909_20191018T073856_T38RPS","20191112T073141_20191112T073144_T38RPS","20200316T072639_20200316T073813_T38RPS","20200415T072609_20200415T073422_T38RPR",46.5842303109962,27.9730313877386
"point_0020","20180102T075319_20180102T075640_T38SKE","20180219T075951_20180219T075949_T38SKE","20190313T074711_20190313T075536_T38SKE","20200219T075951_20200219T080811_T38SKD","20200419T075611_20200419T080344_T38SKD",42.451172,35.176635
"point_0021","20181030T081041_20181030T082011_T37SDU","20190324T080609_20190324T081236_T37SDU","20190329T080611_20190329T081207_T37SDU","20190423T080619_20190423T081724_T37SDU","20191109T081049_20191109T081833_T37SDU",38.496094,34.60022
"point_0022","20190120T071221_20190120T071215_T39SXR","20190301T070821_20190301T071257_T39SXR","20190520T070631_20190520T071436_T39SXR","20191116T071151_20191116T071148_T39SXR","20200419T070619_20200419T071437_T39SXR",52.5200379972402,31.7771954297513
"point_0023","20191029T070009_20191029T070052_T40RBT","20191123T070211_20191123T070212_T40RBT","20200327T065619_20200327T065928_T40RBT","20200720T065631_20200720T070944_T40RBT","20200725T065629_20200725T070120_T40RBT",54.84375,29.656142
"point_0024","20190412T065629_20190412T070829_T40RBR","20190706T065631_20190706T070836_T40RBR","20190731T065629_20190731T070911_T40RBR","20200102T070301_20200102T070259_T40RBR","20200526T065629_20200526T071049_T40RBR",54.316406,27.768811
"point_0025","20181223T061241_20181223T061242_T42SVA","20190402T060631_20190402T061609_T42SVA","20191128T061211_20191128T061208_T42SVA","20191223T061249_20191223T061748_T42SVA","20200401T060629_20200401T061436_T42SVA",68.115234,32.335877
"point_0026","20190803T052659_20190803T053305_T44SKB","20200509T052649_20200509T053704_T44SKB","20200618T052649_20200618T053712_T44SKB","20200728T052649_20200728T053303_T44SKA","20200728T052649_20200728T053303_T44SKB",78.75,32.487301
"point_0027","20181221T053231_20181221T053356_T44SKH","20190204T053029_20190204T053148_T44SKH","20190503T053651_20190503T054503_T44SKH","20190604T052659_20190604T053306_T44SKH","20190828T052651_20190828T052911_T44SKH",78.662109,38.420841
"point_0028","20190228T050739_20190228T051623_T45TUE","20190628T050659_20190628T051009_T45TUE","20190827T050659_20190827T051015_T45TUE","20191026T050909_20191026T050903_T45TUE","20200403T050649_20200403T051359_T45TUE",85.253906,39.851548
"point_0029","20190108T045151_20190108T045328_T46TBM","20190309T044651_20190309T045537_T46TCM","20190314T044659_20190314T045352_T45TYG","20190707T044711_20190707T045327_T45TYG","20200711T044701_20200711T045536_T46TCM",90.615234,42.236104
"point_0030","20190111T050151_20190111T050150_T46TCR","20190712T044709_20190712T044708_T46TDR","20190727T044701_20190727T045120_T46TDR","20190829T045701_20190829T045729_T46TCR","20200412T044701_20200412T045530_T46TDR",91.757813,45.711396
